,Euclidean,Manhattan,Chess_board,DSSIM
0,9476.556261941929,10631.362464633754,13732.178245834642,0.45494534751510163
1,9773.669135364691,11389.389500157184,13764.489468720529,0.47095377146763734
2,9536.479447826097,10822.003458032072,14067.807607670544,0.46235722342255725
3,9464.564328803988,11007.395158755104,13629.697265011004,0.4581090216269003
4,9004.232111357798,9522.977679974847,13184.985539138635,0.42747868138392064
5,8876.537447028448,9470.576233888709,12375.602640679033,0.42821116826028427
6,8827.862413783458,9870.1578120088,12846.483495756052,0.42509937609069626
7,9457.726451479739,10489.258723671797,13659.320339515876,0.4530925222205968
8,9359.078267980149,10475.08299276957,13221.392958189248,0.4531626401402768
9,9856.687328662942,11153.308079220378,14185.324111914493,0.4687287154074362
10,9062.356214415477,9869.919522162845,13044.459918264696,0.4413874079640758
11,9138.814553504339,10002.372838729956,13321.99119773656,0.43638540013932603
12,10060.726238787665,11109.277271298337,15004.868594781514,0.48293656857549017
13,9882.752994381874,10562.299276956936,14461.16912920465,0.4793707381963223
14,9054.641695869379,9551.508330713614,13297.985539138635,0.42893201592275054
15,8999.719994094665,10473.746306193021,13281.172272870166,0.43014756345765437
16,9290.334086677683,10283.334486010686,13402.911034265955,0.447857539363387
17,9283.143755992754,10243.620245205911,13024.344231373781,0.4544516880530343
18,8917.089096265121,9210.874882112545,12948.742219427853,0.4265999610513569
19,9212.970003354045,10300.005972964478,13813.067588808552,0.4355589937470573
20,8536.644638543661,9631.226029550453,13341.808236403647,0.40405948094012717
21,8291.244028160612,9300.431310908516,12530.638478465891,0.3947954506305025
22,8502.77551213164,9535.382898459604,13213.808236403647,0.40585123836653564
23,8403.107784223821,9649.402703552341,12901.553599497014,0.4032967476513502
24,8318.57852675797,9467.615529707642,12658.64948129519,0.39825803458788267
25,8236.034789766474,9156.34674630619,12443.816409933985,0.39432053591280153
26,8654.559932961358,10050.953159383842,13369.465576862622,0.41098411169779336
27,8576.519894048672,9832.877082678395,13261.43822697265,0.41073966318689137
28,8235.331348644437,9241.154668343286,12513.816409933985,0.3957897727403026
29,8158.933930630827,9090.781200880228,12282.010059729642,0.3940870223679271
30,8455.987873611512,9644.249292675258,13153.182961332914,0.4044119535389511
31,8423.45285957131,9526.249292675258,13062.208739390127,0.4013211077161899
32,8184.474897594048,9184.317824583466,12348.99119773656,0.3942585382965216
33,8047.577413587723,9105.252750707323,12335.212511788744,0.39549295747080127
34,8242.64658022067,9242.934611757311,12660.64948129519,0.39386646804218334
35,8257.74314108377,9228.251807607672,12691.09462433197,0.39644149261369427
36,8112.782725228707,9182.788116944359,12060.010059729642,0.39402444012526916
37,8322.87506213998,9415.922980194906,13054.553599497014,0.3973197877916172
38,8321.44291419733,9391.898145237348,12823.311222885884,0.3992977093074921
39,8128.828028196954,9138.254322540082,11839.010059729642,0.3941358361273723
40,9844.87375867247,12489.626218170384,11044.906318767684,0.4435371939114897
41,9884.06502292077,12547.319396416222,11092.314995284501,0.4424945873527909
42,10057.328426259513,12835.999685633447,11306.169129204653,0.44483357551935193
43,9999.422205600564,12781.532222571517,11207.06098711097,0.44458242065542375
44,9866.624147306751,12550.165356806037,11012.37975479409,0.4422187755504837
45,9870.56181833854,12479.165356806037,11008.724614900973,0.4409639780473215
46,9883.499550866662,12546.991512103106,11009.354605469976,0.4432380087345323
47,10053.283528899425,13105.399874253375,11402.387299591323,0.4438770758046292
48,10114.944161311141,13074.399874253375,11449.681232316882,0.44588974698464184
49,10105.659300942172,13177.399874253375,11426.56868909148,0.44322772748002603
50,10107.482424367794,13161.519647909461,11519.56868909148,0.44573162521374005
51,10023.635782347754,13021.827727129827,11416.098082364037,0.4453458153572115
52,10112.588616442003,13278.071361207161,11423.976108142095,0.4479682959495557
53,10097.267551614554,13102.106255894369,11445.461490097452,0.44461044916590214
54,10100.869136711324,13169.92486639422,11375.752593524048,0.4454716916161953
55,10077.315493876153,13150.519647909461,11398.152153410876,0.44064020887086774
56,10112.492192406773,13206.519647909461,11391.383841559258,0.44275016877053264
57,10104.552724573326,13130.399874253375,11416.169443571203,0.4432676534705791
58,10043.774279388888,12812.827727129827,11263.527821439799,0.4438986995084695
59,9988.327239789807,12729.183590066013,11201.494184218798,0.44410948501651537
60,8517.081210976974,10210.922980194911,11984.304306821756,0.4322060749231511
61,8121.814846330463,9394.201194592893,10956.529393272556,0.4182266321879712
